name,category,company,seller,description,short_description,price,compare_price,cost_per_item,stock_quantity,sku,barcode,weight,dimensions,is_active,is_featured,is_digital,image_url
Masks Model 188,Health,Farhan,Default Seller,High quality Masks Model 188 from the Health category. Durable and reliable.,Best Masks Model 188 for your needs.,2244,19433,312,249,SKU-5188,8900001188,1.26,35x11x13,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/health,masks?lock=188"
Floor Mats Model 189,Automotive,Farhan,Default Seller,High quality Floor Mats Model 189 from the Automotive category. Durable and reliable.,Best Floor Mats Model 189 for your needs.,10408,18436,398,173,SKU-5189,8900001189,3.48,49x49x10,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/automotive,floormats?lock=189"
Headphones Model 190,Electronics,Farhan,Default Seller,High quality Headphones Model 190 from the Electronics category. Durable and reliable.,Best Headphones Model 190 for your needs.,7148,17017,207,311,SKU-5190,8900001190,4.31,40x12x9,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/electronics,headphones?lock=190"
Fan Model 191,Home & Kitchen,Farhan,Default Seller,High quality Fan Model 191 from the Home & Kitchen category. Durable and reliable.,Best Fan Model 191 for your needs.,7215,18707,297,319,SKU-5191,8900001191,1.4,19x29x5,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/home&kitchen,fan?lock=191"
Eggs Model 192,Grocery,Farhan,Default Seller,High quality Eggs Model 192 from the Grocery category. Durable and reliable.,Best Eggs Model 192 for your needs.,6588,16540,346,458,SKU-5192,8900001192,0.51,26x11x16,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/grocery,eggs?lock=192"
Knife Set Model 193,Home & Kitchen,Farhan,Default Seller,High quality Knife Set Model 193 from the Home & Kitchen category. Durable and reliable.,Best Knife Set Model 193 for your needs.,12838,17766,314,27,SKU-5193,8900001193,2.88,39x50x10,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,knifeset?lock=193"
Toaster Model 194,Home & Kitchen,Farhan,Default Seller,High quality Toaster Model 194 from the Home & Kitchen category. Durable and reliable.,Best Toaster Model 194 for your needs.,6284,19563,250,270,SKU-5194,8900001194,3.1,29x10x17,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/home&kitchen,toaster?lock=194"
Headphones Model 195,Electronics,Farhan,Default Seller,High quality Headphones Model 195 from the Electronics category. Durable and reliable.,Best Headphones Model 195 for your needs.,8422,18881,372,464,SKU-5195,8900001195,2.54,39x46x6,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,headphones?lock=195"
Glucometer Model 196,Health,Farhan,Default Seller,High quality Glucometer Model 196 from the Health category. Durable and reliable.,Best Glucometer Model 196 for your needs.,6348,19968,247,256,SKU-5196,8900001196,0.38,13x21x15,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/health,glucometer?lock=196"
Knife Set Model 197,Home & Kitchen,Farhan,Default Seller,High quality Knife Set Model 197 from the Home & Kitchen category. Durable and reliable.,Best Knife Set Model 197 for your needs.,12148,16213,245,57,SKU-5197,8900001197,3.33,32x10x16,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/home&kitchen,knifeset?lock=197"
Tool Kit Model 198,Automotive,Farhan,Default Seller,High quality Tool Kit Model 198 from the Automotive category. Durable and reliable.,Best Tool Kit Model 198 for your needs.,883,15055,218,83,SKU-5198,8900001198,1.34,34x49x9,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/automotive,toolkit?lock=198"
Pan Model 199,Home & Kitchen,Farhan,Default Seller,High quality Pan Model 199 from the Home & Kitchen category. Durable and reliable.,Best Pan Model 199 for your needs.,11909,19585,340,127,SKU-5199,8900001199,1.65,44x40x10,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,pan?lock=199"
Dumbbells Model 200,Sports,Farhan,Default Seller,High quality Dumbbells Model 200 from the Sports category. Durable and reliable.,Best Dumbbells Model 200 for your needs.,14727,19057,364,61,SKU-5200,8900001200,4.99,26x26x15,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/sports,dumbbells?lock=200"
